tournament,match_count,tier,region,stage_type,notes
First Strike: Europe,270,,auto:EMEA,auto:main_event,
Champions Tour North America Stage 2: Challengers,255,tier1,auto:NA,auto:main_event,
Champions Tour North America Stage 1: Challengers,246,tier1,auto:NA,auto:main_event,
Champions Tour Game Changers Series III: EMEA,212,game_changers,auto:EMEA,auto:main_event,
First Strike: North America,202,,auto:NA,auto:main_event,
Champions Tour Europe Stage 1: Challengers 2,157,tier1,auto:EMEA,auto:main_event,
Challengers League: North America Qualifiers,147,tier2,auto:NA,auto:qualifier,
Challengers League 2024 North America: Qualifiers,139,tier2,auto:NA,auto:qualifier,
Champions Tour Europe Stage 1: Challengers 1,139,tier1,auto:EMEA,auto:main_event,
Twitch Rivals: VALORANT Launch Showdown,132,,,auto:main_event,
Game Changers 2022 EMEA: Series III,120,game_changers,auto:EMEA,auto:main_event,
Champions Tour Game Changers Series III: North America,108,game_changers,auto:NA,auto:main_event,
Challengers 2025: Türkiye Birlik Stage 2,105,tier2,auto:EMEA,auto:main_event,
Champions Tour Game Changers Series II: EMEA,103,game_changers,auto:EMEA,auto:main_event,
Champions Tour Brazil Stage 1: Challengers 1,102,tier1,auto:Brazil,auto:main_event,
Valorant Elite Showdown,102,tier3,,auto:main_event,
Challengers League East Surge: Split 1,100,tier2,,auto:main_event,
Valorant Regional League Spain: Rising - Stage 2,97,tier2,auto:EMEA,auto:main_event,
Challengers League East Surge: Split 2,97,tier2,,auto:main_event,
Challengers League France Revolution: Split 1,95,tier2,auto:EMEA,auto:main_event,
Valorant Regional League France: Revolution - Stage 2,95,tier2,auto:EMEA,auto:main_event,
Challengers League Spain Rising: Split 2,95,tier2,auto:EMEA,auto:main_event,
Challengers League Spain Rising: Split 1,95,tier2,auto:EMEA,auto:main_event,
Challengers League France Revolution: Split 2,95,tier2,auto:EMEA,auto:main_event,
First Strike: Oceania,94,,auto:Oceania,auto:main_event,
Valorant Conquerors Championship,93,tier1,,auto:main_event,
Challengers League: North America,93,tier2,auto:NA,auto:main_event,
FGC VALORANT Invitational 2023: Act 1 Qualifiers,90,tier3,,auto:qualifier,
Gamers Club Challengers League 2024 Brazil: Split 1,86,tier2,auto:Brazil,auto:main_event,
Champions Tour Europe Stage 3: Challengers 1,86,tier1,auto:EMEA,auto:main_event,
Game Changers 2022 EMEA: Series II,85,game_changers,auto:EMEA,auto:main_event,
Game Changers 2022 EMEA: Series I,84,game_changers,auto:EMEA,auto:main_event,
Champions Tour Europe Stage 3: Challengers 2,83,tier1,auto:EMEA,auto:main_event,
Champions Tour North America Stage 1: Challengers 1,81,tier1,auto:NA,auto:main_event,
Knights VALORAMPAGE,81,tier3,auto:NA,auto:main_event,
Champions Tour Korea Stage 2: Challengers,78,tier1,auto:Korea,auto:main_event,
Champions Tour North America Stage 3: Challengers 1,77,tier1,auto:NA,auto:main_event,
Challengers 2026: Brazil Gamers Club Stage 1,75,tier2,auto:Brazil,auto:main_event,
GLX Elite Series,75,tier3,,auto:main_event,
Champions Tour Europe Stage 2: Challengers 1,75,tier1,auto:EMEA,auto:main_event,
